"x"	"variable"	"value"
1	"none"	45.1
2	"none"	45.6
3	"none"	45.6
4	"none"	45.6
5	"none"	46.2
6	"none"	46.2
7	"none"	46.2
8	"none"	46.2
9	"none"	46.2
10	"none"	46.2
11	"none"	46.2
12	"none"	45.6
13	"none"	46.2
14	"none"	46.2
15	"none"	47.2
16	"none"	46.2
17	"none"	46.7
18	"none"	46.2
19	"none"	46.7
20	"none"	46.7
21	"none"	49.4
22	"none"	51.5
23	"none"	53.7
24	"none"	55.8
25	"none"	56.9
26	"none"	57.5
27	"none"	58
28	"none"	59.1
29	"none"	60.7
30	"none"	61.2
31	"none"	61.2
32	"none"	62.3
33	"none"	62.3
34	"none"	63.4
35	"none"	63.4
36	"none"	63.4
37	"none"	64.5
38	"none"	64.5
39	"none"	65.5
40	"none"	65.5
41	"none"	65.5
42	"none"	65.5
43	"none"	66.6
44	"none"	66.6
45	"none"	67.1
46	"none"	67.7
47	"none"	67.7
48	"none"	68.2
49	"none"	67.7
50	"none"	67.7
51	"none"	68.8
52	"none"	68.2
53	"none"	68.8
54	"none"	69.3
55	"none"	69.8
56	"none"	68.8
57	"none"	69.8
58	"none"	69.8
59	"none"	69.8
60	"none"	70.9
61	"none"	70.9
62	"none"	70.9
63	"none"	70.9
64	"none"	70.9
65	"none"	71.4
66	"none"	70.9
67	"none"	71.4
68	"none"	72
69	"none"	72
70	"none"	70.9
71	"none"	71.4
72	"none"	72
73	"none"	72.5
74	"none"	73.1
75	"none"	73.1
76	"none"	72
77	"none"	73.1
78	"none"	73.1
79	"none"	73.1
80	"none"	73.1
81	"none"	73.1
82	"none"	73.6
83	"none"	74.1
84	"none"	74.1
85	"none"	73.6
86	"none"	74.1
87	"none"	74.1
88	"none"	74.7
89	"none"	74.7
90	"none"	74.1
91	"none"	74.1
92	"none"	75.2
93	"none"	75.2
94	"none"	75.2
95	"none"	75.2
96	"none"	75.2
97	"none"	75.2
98	"none"	75.8
99	"none"	75.2
100	"none"	75.8
101	"none"	75.8
102	"none"	75.2
103	"none"	75.8
104	"none"	75.8
105	"none"	76.3
106	"none"	76.3
107	"none"	76.3
108	"none"	76.8
109	"none"	76.3
110	"none"	76.3
111	"none"	76.8
112	"none"	76.3
113	"none"	77.4
114	"none"	76.8
115	"none"	76.8
116	"none"	77.4
117	"none"	77.9
118	"none"	76.8
119	"none"	77.4
120	"none"	77.9
121	"none"	77.9
122	"none"	77.9
123	"none"	77.9
124	"none"	77.9
125	"none"	77.9
126	"none"	78.4
127	"none"	78.4
128	"none"	78.4
129	"none"	77.9
130	"none"	78.4
131	"none"	79
132	"none"	78.4
133	"none"	78.4
134	"none"	79
135	"none"	79
136	"none"	79.5
137	"none"	79.5
138	"none"	79.5
139	"none"	79.5
140	"none"	79
141	"none"	79
142	"none"	79.5
143	"none"	79.5
144	"none"	79.5
145	"none"	79.5
146	"none"	79.5
147	"none"	79.5
148	"none"	79.5
149	"none"	79.5
150	"none"	80.1
151	"none"	79.5
152	"none"	80.1
153	"none"	80.6
154	"none"	80.1
155	"none"	80.1
156	"none"	79.5
157	"none"	80.6
158	"none"	80.1
159	"none"	80.6
160	"none"	80.1
161	"none"	80.6
162	"none"	80.1
163	"none"	80.6
164	"none"	80.6
165	"none"	80.6
166	"none"	80.6
167	"none"	80.6
168	"none"	80.6
169	"none"	80.6
170	"none"	80.6
171	"none"	81.1
172	"none"	80.6
173	"none"	80.6
174	"none"	80.6
175	"none"	80.6
176	"none"	81.7
177	"none"	80.6
178	"none"	81.1
179	"none"	81.7
180	"none"	81.7
181	"none"	81.1
182	"none"	80.6
183	"none"	81.7
184	"none"	81.7
185	"none"	81.7
186	"none"	81.1
187	"none"	81.7
188	"none"	81.7
189	"none"	81.7
190	"none"	82.2
191	"none"	81.7
192	"none"	81.7
193	"none"	82.2
194	"none"	82.2
195	"none"	81.7
196	"none"	81.7
197	"none"	82.7
198	"none"	82.2
199	"none"	81.7
200	"none"	82.2
201	"none"	82.2
202	"none"	82.2
203	"none"	82.2
204	"none"	82.2
205	"none"	82.7
206	"none"	82.7
207	"none"	82.7
208	"none"	82.2
209	"none"	82.7
210	"none"	83.3
211	"none"	82.7
212	"none"	82.7
213	"none"	83.3
214	"none"	82.7
215	"none"	82.7
216	"none"	82.7
217	"none"	83.3
218	"none"	83.3
219	"none"	82.7
220	"none"	82.7
221	"none"	82.7
222	"none"	83.3
223	"none"	82.7
224	"none"	82.7
225	"none"	83.3
226	"none"	83.3
227	"none"	83.8
228	"none"	83.3
229	"none"	83.3
230	"none"	82.7
231	"none"	83.8
232	"none"	83.3
233	"none"	82.7
