"x"	"variable"	"value"
234	"none"	83.3
235	"none"	83.3
236	"none"	82.7
237	"none"	83.3
238	"none"	83.8
239	"none"	82.7
240	"none"	82.7
241	"none"	83.8
242	"none"	83.3
243	"none"	82.7
244	"none"	82.7
245	"none"	82.7
246	"none"	83.8
247	"none"	82.7
248	"none"	83.3
249	"none"	83.3
250	"none"	82.7
251	"none"	83.3
252	"none"	83.8
253	"none"	83.3
254	"none"	82.7
255	"none"	83.3
256	"none"	83.8
257	"none"	83.8
258	"none"	83.8
259	"none"	83.8
260	"none"	83.8
261	"none"	83.8
262	"none"	83.8
263	"none"	83.3
264	"none"	83.3
265	"none"	83.8
266	"none"	83.8
267	"none"	83.8
268	"none"	82.7
269	"none"	83.8
270	"none"	83.8
271	"none"	83.3
272	"none"	83.3
273	"none"	83.8
274	"none"	83.8
275	"none"	83.8
276	"none"	83.8
277	"none"	83.8
278	"none"	83.8
279	"none"	83.3
280	"none"	83.8
281	"none"	83.3
282	"none"	83.8
283	"none"	83.8
284	"none"	83.3
285	"none"	83.8
286	"none"	83.8
287	"none"	82.7
288	"none"	83.3
289	"none"	83.8
290	"none"	83.8
291	"none"	83.8
292	"none"	83.8
293	"none"	83.8
294	"none"	83.8
295	"none"	83.8
296	"none"	83.8
297	"none"	83.3
298	"none"	83.3
299	"none"	83.3
300	"none"	83.8
301	"none"	83.8
302	"none"	83.8
303	"none"	83.8
304	"none"	83.8
305	"none"	83.8
306	"none"	83.3
307	"none"	83.8
308	"none"	83.8
309	"none"	83.8
310	"none"	83.3
311	"none"	83.8
312	"none"	83.8
313	"none"	82.7
314	"none"	83.8
315	"none"	83.8
316	"none"	83.8
317	"none"	83.3
318	"none"	83.8
319	"none"	83.3
320	"none"	83.8
321	"none"	83.8
322	"none"	83.8
323	"none"	83.8
324	"none"	83.8
325	"none"	83.8
326	"none"	83.8
327	"none"	83.8
328	"none"	83.8
329	"none"	83.8
330	"none"	83.8
331	"none"	83.8
332	"none"	83.8
333	"none"	83.8
334	"none"	83.8
335	"none"	83.8
336	"none"	83.8
337	"none"	83.8
338	"none"	83.8
339	"none"	83.8
340	"none"	83.8
341	"none"	83.8
342	"none"	83.8
343	"none"	83.8
344	"none"	83.3
345	"none"	83.8
346	"none"	83.8
347	"none"	83.8
348	"none"	83.8
349	"none"	83.8
350	"none"	83.8
351	"none"	83.8
352	"none"	83.8
353	"none"	83.3
354	"none"	83.8
355	"none"	83.8
356	"none"	83.8
357	"none"	83.8
358	"none"	83.8
359	"none"	83.8
360	"none"	83.8
361	"none"	83.8
362	"none"	83.8
363	"none"	83.3
364	"none"	83.8
365	"none"	83.8
366	"none"	83.8
367	"none"	84.4
368	"none"	83.8
369	"none"	83.8
370	"none"	83.8
371	"none"	82.7
372	"none"	83.8
373	"none"	83.8
374	"none"	83.8
375	"none"	83.8
376	"none"	83.8
377	"none"	83.8
378	"none"	83.8
379	"none"	83.8
380	"none"	83.8
381	"none"	83.8
382	"none"	84.4
383	"none"	83.8
384	"none"	83.8
385	"none"	83.8
386	"none"	84.4
387	"none"	83.8
388	"none"	83.8
389	"none"	84.4
390	"none"	83.8
391	"none"	83.8
392	"none"	83.8
393	"none"	83.8
394	"none"	83.8
395	"none"	83.8
396	"none"	83.8
397	"none"	83.8
398	"none"	84.4
399	"none"	83.8
400	"none"	83.8
401	"none"	83.8
402	"none"	83.8
403	"none"	83.8
404	"none"	83.8
405	"none"	83.8
406	"none"	84.4
407	"none"	83.8
408	"none"	83.8
409	"none"	83.8
410	"none"	83.8
411	"none"	83.8
412	"none"	83.8
413	"none"	84.4
414	"none"	83.8
415	"none"	83.8
416	"none"	83.8
417	"none"	83.8
418	"none"	83.8
419	"none"	83.8
420	"none"	83.8
421	"none"	83.8
422	"none"	83.8
423	"none"	83.8
424	"none"	84.4
425	"none"	83.8
426	"none"	83.3
427	"none"	83.8
428	"none"	83.8
429	"none"	83.8
430	"none"	83.8
431	"none"	83.8
432	"none"	84.4
433	"none"	83.8
434	"none"	83.8
435	"none"	83.8
436	"none"	83.8
437	"none"	84.4
438	"none"	83.8
439	"none"	83.8
440	"none"	84.4
441	"none"	83.8
442	"none"	83.8
443	"none"	83.8
444	"none"	84.4
445	"none"	83.8
446	"none"	83.8
447	"none"	83.8
448	"none"	83.8
449	"none"	83.8
450	"none"	83.8
451	"none"	83.8
452	"none"	83.8
453	"none"	84.4
454	"none"	83.8
455	"none"	83.8
456	"none"	83.8
457	"none"	83.8
458	"none"	83.8
459	"none"	84.4
460	"none"	83.8
461	"none"	83.8
462	"none"	83.8
463	"none"	83.8
464	"none"	83.8
465	"none"	83.8
466	"none"	83.8
467	"none"	84.4
468	"none"	83.8
469	"none"	84.4
470	"none"	83.8
471	"none"	83.8
472	"none"	83.8
473	"none"	84.4
474	"none"	84.4
475	"none"	84.4
476	"none"	83.8
477	"none"	84.4
478	"none"	83.8
479	"none"	83.8
480	"none"	84.4
481	"none"	83.8
482	"none"	84.4
483	"none"	83.8
484	"none"	84.4
485	"none"	83.8
486	"none"	83.8
487	"none"	83.8
488	"none"	83.8
489	"none"	83.8
490	"none"	83.8
491	"none"	83.8
492	"none"	84.4
493	"none"	84.4
494	"none"	83.8
495	"none"	83.8
496	"none"	84.4
497	"none"	83.8
498	"none"	83.8
499	"none"	83.8
500	"none"	83.8
501	"none"	83.8
502	"none"	83.8
503	"none"	83.8
504	"none"	84.4
505	"none"	83.8
506	"none"	83.8
507	"none"	83.8
508	"none"	83.8
509	"none"	84.4
510	"none"	83.8
511	"none"	84.4
512	"none"	83.8
513	"none"	83.8
514	"none"	83.8
515	"none"	83.8
516	"none"	83.3
517	"none"	83.8
518	"none"	84.9
519	"none"	84.4
520	"none"	83.8
521	"none"	83.8
522	"none"	83.8
523	"none"	83.8
524	"none"	84.4
525	"none"	83.8
526	"none"	84.4
527	"none"	83.8
528	"none"	84.4
529	"none"	83.8
530	"none"	84.9
531	"none"	83.8
532	"none"	83.8
533	"none"	83.8
534	"none"	83.8
535	"none"	83.8
536	"none"	83.8
537	"none"	83.8
538	"none"	83.8
539	"none"	83.8
540	"none"	83.8
541	"none"	84.4
542	"none"	83.8
543	"none"	83.8
544	"none"	83.8
545	"none"	83.8
546	"none"	83.8
547	"none"	83.8
548	"none"	84.4
549	"none"	84.4
550	"none"	83.8
551	"none"	83.8
552	"none"	83.8
553	"none"	83.8
554	"none"	83.8
555	"none"	83.8
556	"none"	84.4
557	"none"	83.8
558	"none"	84.4
559	"none"	84.4
560	"none"	83.8
561	"none"	84.4
562	"none"	84.4
563	"none"	83.8
564	"none"	83.8
565	"none"	83.8
566	"none"	84.4
567	"none"	84.4
568	"none"	83.8
569	"none"	83.8
570	"none"	83.8
571	"none"	83.8
572	"none"	84.4
573	"none"	83.8
574	"none"	84.9
575	"none"	83.8
576	"none"	83.8
577	"none"	83.8
578	"none"	83.8
579	"none"	83.8
580	"none"	84.4
581	"none"	83.8
582	"none"	83.8
583	"none"	83.8
584	"none"	83.8
585	"none"	83.8
586	"none"	83.8
587	"none"	83.8
588	"none"	83.8
589	"none"	83.8
590	"none"	83.8
591	"none"	84.4
592	"none"	83.8
593	"none"	84.4
594	"none"	83.8
595	"none"	84.4
596	"none"	84.4
597	"none"	83.8
598	"none"	84.4
599	"none"	83.8
600	"none"	84.4
601	"none"	84.4
602	"none"	84.4
603	"none"	84.4
604	"none"	83.8
605	"none"	83.8
606	"none"	83.8
607	"none"	83.8
608	"none"	83.8
609	"none"	83.8
610	"none"	83.8
611	"none"	83.8
612	"none"	83.8
613	"none"	83.8
614	"none"	84.4
615	"none"	84.4
616	"none"	83.8
617	"none"	84.4
618	"none"	84.4
619	"none"	84.4
620	"none"	83.8
621	"none"	83.8
622	"none"	84.4
623	"none"	83.8
624	"none"	84.4
625	"none"	84.4
626	"none"	83.8
627	"none"	84.4
628	"none"	83.8
629	"none"	84.4
630	"none"	84.4
631	"none"	83.8
632	"none"	84.4
633	"none"	83.8
634	"none"	83.8
635	"none"	84.4
636	"none"	84.4
637	"none"	84.9
638	"none"	83.8
639	"none"	84.4
640	"none"	84.4
641	"none"	83.8
642	"none"	84.9
643	"none"	83.8
644	"none"	83.8
645	"none"	84.9
646	"none"	84.4
647	"none"	84.4
648	"none"	84.4
649	"none"	84.4
650	"none"	83.8
651	"none"	84.4
652	"none"	83.8
653	"none"	84.4
654	"none"	84.4
655	"none"	83.8
656	"none"	83.8
657	"none"	84.4
658	"none"	83.8
659	"none"	84.4
660	"none"	83.8
661	"none"	83.8
662	"none"	83.8
663	"none"	83.8
664	"none"	84.4
665	"none"	83.8
666	"none"	83.8
667	"none"	83.8
668	"none"	84.4
669	"none"	83.8
670	"none"	84.4
671	"none"	84.4
672	"none"	83.8
673	"none"	84.4
674	"none"	83.8
675	"none"	83.8
676	"none"	83.8
677	"none"	84.4
678	"none"	83.8
679	"none"	83.8
680	"none"	84.4
681	"none"	83.8
682	"none"	84.4
683	"none"	83.8
684	"none"	83.8
685	"none"	83.8
686	"none"	84.9
687	"none"	83.8
688	"none"	83.8
689	"none"	84.4
690	"none"	84.4
691	"none"	83.8
692	"none"	83.8
693	"none"	83.8
694	"none"	84.4
695	"none"	83.8
696	"none"	84.4
697	"none"	84.9
698	"none"	84.4
699	"none"	84.4
700	"none"	84.4
701	"none"	83.8
702	"none"	84.4
703	"none"	83.8
704	"none"	83.8
705	"none"	83.8
706	"none"	84.4
707	"none"	83.8
708	"none"	83.8
709	"none"	84.9
710	"none"	83.8
711	"none"	84.4
712	"none"	84.4
713	"none"	84.4
714	"none"	84.9
715	"none"	83.8
716	"none"	84.4
717	"none"	84.9
718	"none"	83.8
719	"none"	83.8
720	"none"	83.8
1	"both"	36.5
2	"both"	36.5
3	"both"	36.5
4	"both"	36.5
5	"both"	36.5
6	"both"	36.5
7	"both"	36.5
8	"both"	36.5
9	"both"	36.5
10	"both"	36.5
11	"both"	36.5
12	"both"	36.5
13	"both"	36.5
14	"both"	36.5
15	"both"	36.5
16	"both"	36.5
17	"both"	36.5
18	"both"	36.5
19	"both"	36.5
20	"both"	36.5
21	"both"	38.6
22	"both"	40.2
23	"both"	40.8
24	"both"	40.8
25	"both"	41.9
26	"both"	41.9
27	"both"	42.4
28	"both"	42.9
29	"both"	43.5
30	"both"	44
31	"both"	43.5
32	"both"	43.5
33	"both"	44
34	"both"	44
35	"both"	44
36	"both"	44
37	"both"	44.5
38	"both"	45.1
39	"both"	45.1
40	"both"	45.1
41	"both"	45.1
42	"both"	45.1
43	"both"	45.1
44	"both"	45.1
45	"both"	45.1
46	"both"	45.1
47	"both"	45.6
48	"both"	45.6
49	"both"	45.6
50	"both"	45.6
51	"both"	45.6
52	"both"	45.6
53	"both"	46.2
54	"both"	46.2
55	"both"	46.2
56	"both"	45.6
57	"both"	46.2
58	"both"	46.2
59	"both"	46.2
60	"both"	46.2
61	"both"	46.2
62	"both"	46.7
63	"both"	46.7
64	"both"	46.7
65	"both"	46.7
66	"both"	46.7
67	"both"	47.2
68	"both"	46.2
69	"both"	46.2
70	"both"	47.2
71	"both"	47.2
72	"both"	47.2
73	"both"	47.2
74	"both"	47.2
75	"both"	46.2
76	"both"	46.2
77	"both"	47.2
78	"both"	47.2
79	"both"	47.2
80	"both"	47.2
81	"both"	47.2
82	"both"	47.2
83	"both"	47.2
84	"both"	46.7
85	"both"	47.2
86	"both"	47.8
87	"both"	47.2
88	"both"	47.2
89	"both"	47.2
90	"both"	46.7
91	"both"	47.2
92	"both"	47.2
93	"both"	47.2
94	"both"	47.2
95	"both"	47.2
96	"both"	47.2
97	"both"	47.2
98	"both"	47.2
99	"both"	47.2
100	"both"	47.2
101	"both"	47.2
102	"both"	47.8
103	"both"	47.2
104	"both"	47.8
105	"both"	47.2
106	"both"	47.2
107	"both"	47.8
108	"both"	47.2
109	"both"	47.2
110	"both"	47.2
111	"both"	47.2
112	"both"	47.2
113	"both"	47.2
114	"both"	47.8
115	"both"	47.2
116	"both"	47.2
117	"both"	47.8
118	"both"	47.2
119	"both"	47.8
120	"both"	47.2
121	"both"	48.3
122	"both"	47.2
123	"both"	47.8
124	"both"	47.8
125	"both"	47.8
126	"both"	47.8
127	"both"	47.2
128	"both"	47.8
129	"both"	47.8
130	"both"	47.2
131	"both"	47.8
132	"both"	47.2
133	"both"	48.3
134	"both"	47.2
135	"both"	47.8
136	"both"	48.3
137	"both"	47.8
138	"both"	47.8
139	"both"	47.8
140	"both"	47.8
141	"both"	47.8
142	"both"	47.8
143	"both"	47.8
144	"both"	47.8
145	"both"	48.3
146	"both"	47.2
147	"both"	47.8
148	"both"	47.2
149	"both"	48.3
150	"both"	47.8
151	"both"	47.2
152	"both"	47.8
153	"both"	47.2
154	"both"	47.8
155	"both"	47.2
156	"both"	47.8
157	"both"	47.8
158	"both"	47.2
159	"both"	47.2
160	"both"	47.8
161	"both"	47.8
162	"both"	47.8
163	"both"	47.2
164	"both"	47.8
165	"both"	47.8
166	"both"	47.2
167	"both"	47.2
168	"both"	47.2
169	"both"	47.8
170	"both"	47.8
171	"both"	47.8
172	"both"	47.2
173	"both"	47.8
174	"both"	47.8
175	"both"	47.8
176	"both"	48.3
177	"both"	47.2
178	"both"	47.8
179	"both"	47.8
180	"both"	48.3
181	"both"	47.8
182	"both"	47.2
183	"both"	47.8
184	"both"	47.8
185	"both"	47.8
186	"both"	48.3
187	"both"	48.3
188	"both"	47.8
189	"both"	47.8
190	"both"	47.8
191	"both"	47.8
192	"both"	48.3
193	"both"	47.8
194	"both"	47.8
195	"both"	47.8
196	"both"	47.8
197	"both"	47.2
198	"both"	47.8
199	"both"	47.8
200	"both"	47.2
201	"both"	47.2
202	"both"	47.8
203	"both"	48.3
204	"both"	47.8
205	"both"	47.8
206	"both"	47.8
207	"both"	47.8
208	"both"	47.8
209	"both"	47.2
210	"both"	47.8
211	"both"	47.8
212	"both"	47.2
213	"both"	47.8
214	"both"	47.8
215	"both"	47.8
216	"both"	47.8
217	"both"	47.2
218	"both"	47.2
219	"both"	48.3
220	"both"	47.8
221	"both"	47.8
222	"both"	47.8
223	"both"	47.8
224	"both"	48.3
225	"both"	47.8
226	"both"	47.2
227	"both"	47.8
228	"both"	47.8
229	"both"	47.8
230	"both"	48.3
231	"both"	47.2
232	"both"	47.8
233	"both"	47.2
234	"both"	47.8
235	"both"	48.3
236	"both"	47.8
237	"both"	47.8
238	"both"	47.8
239	"both"	48.3
240	"both"	47.2
241	"both"	48.3
242	"both"	47.8
243	"both"	47.2
244	"both"	47.8
245	"both"	47.8
246	"both"	47.8
247	"both"	47.8
248	"both"	47.8
249	"both"	47.8
250	"both"	47.8
251	"both"	47.2
252	"both"	48.3
253	"both"	47.2
254	"both"	47.8
255	"both"	47.2
256	"both"	47.8
257	"both"	47.2
258	"both"	47.2
259	"both"	47.8
260	"both"	47.8
261	"both"	47.8
262	"both"	47.8
263	"both"	47.2
264	"both"	47.8
265	"both"	47.8
266	"both"	47.8
267	"both"	47.2
268	"both"	47.8
269	"both"	47.8
270	"both"	47.8
271	"both"	47.2
272	"both"	47.8
273	"both"	47.8
274	"both"	48.3
275	"both"	47.8
276	"both"	47.2
277	"both"	47.8
278	"both"	48.3
279	"both"	48.3
280	"both"	47.8
281	"both"	47.2
282	"both"	47.2
283	"both"	48.3
284	"both"	48.3
285	"both"	47.2
286	"both"	47.8
287	"both"	47.8
288	"both"	47.8
289	"both"	47.8
290	"both"	47.2
291	"both"	48.3
292	"both"	48.3
293	"both"	47.8
294	"both"	48.3
295	"both"	48.3
296	"both"	47.8
297	"both"	48.3
298	"both"	48.3
299	"both"	47.8
300	"both"	47.8
301	"both"	47.2
302	"both"	48.3
303	"both"	48.3
304	"both"	47.8
305	"both"	47.8
306	"both"	48.3
307	"both"	47.8
308	"both"	48.3
309	"both"	47.8
310	"both"	47.8
311	"both"	47.8
312	"both"	48.3
313	"both"	47.8
314	"both"	47.8
315	"both"	48.3
316	"both"	47.2
317	"both"	47.8
318	"both"	47.2
319	"both"	47.8
320	"both"	48.3
321	"both"	47.8
322	"both"	47.8
323	"both"	47.8
324	"both"	47.8
325	"both"	47.8
326	"both"	47.8
327	"both"	47.2
328	"both"	47.8
329	"both"	47.2
330	"both"	47.2
331	"both"	47.8
332	"both"	47.8
333	"both"	47.2
334	"both"	47.2
335	"both"	47.8
336	"both"	47.8
337	"both"	47.8
338	"both"	47.2
339	"both"	47.8
340	"both"	47.8
341	"both"	48.3
342	"both"	47.2
343	"both"	47.2
344	"both"	47.2
345	"both"	47.8
346	"both"	47.8
347	"both"	47.2
348	"both"	47.2
349	"both"	47.2
350	"both"	47.8
351	"both"	48.3
352	"both"	47.8
353	"both"	47.2
354	"both"	48.3
355	"both"	47.8
356	"both"	47.8
357	"both"	47.8
358	"both"	48.3
359	"both"	47.2
360	"both"	47.8
361	"both"	47.2
362	"both"	47.8
363	"both"	47.8
364	"both"	47.8
365	"both"	47.2
366	"both"	47.2
367	"both"	48.3
368	"both"	47.8
369	"both"	47.8
370	"both"	47.2
371	"both"	47.2
372	"both"	47.8
373	"both"	47.8
374	"both"	47.2
375	"both"	47.2
376	"both"	47.2
377	"both"	48.3
378	"both"	47.8
379	"both"	47.8
380	"both"	47.2
381	"both"	47.8
382	"both"	47.8
383	"both"	47.2
384	"both"	47.2
385	"both"	47.2
386	"both"	47.8
387	"both"	47.8
388	"both"	47.8
389	"both"	47.2
390	"both"	47.2
391	"both"	47.8
392	"both"	47.8
393	"both"	47.2
394	"both"	47.8
395	"both"	48.3
396	"both"	48.3
397	"both"	47.2
398	"both"	47.8
399	"both"	47.2
400	"both"	47.8
401	"both"	47.8
402	"both"	47.8
403	"both"	47.8
404	"both"	47.8
405	"both"	47.8
406	"both"	47.8
407	"both"	47.2
408	"both"	47.2
409	"both"	47.8
410	"both"	47.8
411	"both"	47.8
412	"both"	47.8
413	"both"	48.3
414	"both"	47.2
415	"both"	48.3
416	"both"	47.8
417	"both"	48.3
418	"both"	47.2
419	"both"	47.8
420	"both"	47.8
421	"both"	47.2
422	"both"	47.2
423	"both"	47.8
424	"both"	47.8
425	"both"	47.2
426	"both"	47.8
427	"both"	47.8
428	"both"	48.3
429	"both"	47.2
430	"both"	47.2
431	"both"	47.8
432	"both"	47.2
433	"both"	47.8
434	"both"	47.2
435	"both"	47.2
436	"both"	47.8
437	"both"	47.2
438	"both"	47.8
439	"both"	47.2
440	"both"	47.8
441	"both"	47.2
442	"both"	47.8
443	"both"	48.3
444	"both"	47.2
445	"both"	47.2
446	"both"	47.8
447	"both"	47.8
448	"both"	47.8
449	"both"	48.3
450	"both"	47.8
451	"both"	47.8
452	"both"	47.2
453	"both"	47.2
454	"both"	47.8
455	"both"	47.8
456	"both"	47.8
457	"both"	47.2
458	"both"	47.8
459	"both"	47.8
460	"both"	47.2
461	"both"	47.8
462	"both"	47.2
463	"both"	47.8
464	"both"	47.8
465	"both"	47.2
466	"both"	47.2
467	"both"	47.2
468	"both"	47.8
469	"both"	47.8
470	"both"	47.2
471	"both"	47.8
472	"both"	47.2
473	"both"	47.2
474	"both"	47.8
475	"both"	47.8
476	"both"	47.2
477	"both"	47.8
478	"both"	47.2
479	"both"	47.2
480	"both"	47.8
481	"both"	47.8
482	"both"	47.8
483	"both"	47.8
484	"both"	47.2
485	"both"	47.8
486	"both"	47.2
487	"both"	47.8
488	"both"	48.3
489	"both"	47.2
490	"both"	47.2
491	"both"	47.8
492	"both"	47.8
493	"both"	47.8
494	"both"	47.8
495	"both"	47.8
496	"both"	47.8
497	"both"	47.8
498	"both"	47.8
499	"both"	47.8
500	"both"	47.2
501	"both"	47.8
502	"both"	47.8
503	"both"	47.2
504	"both"	47.8
505	"both"	47.8
506	"both"	47.2
507	"both"	47.2
508	"both"	47.8
509	"both"	48.3
510	"both"	47.8
511	"both"	47.8
512	"both"	47.8
513	"both"	48.3
514	"both"	47.8
515	"both"	47.2
516	"both"	48.3
517	"both"	47.8
518	"both"	47.2
519	"both"	47.8
520	"both"	47.2
521	"both"	47.8
522	"both"	48.3
523	"both"	47.8
524	"both"	47.8
525	"both"	47.2
526	"both"	47.8
527	"both"	48.3
528	"both"	47.2
529	"both"	47.8
530	"both"	47.2
531	"both"	47.2
532	"both"	47.2
533	"both"	47.8
534	"both"	48.3
535	"both"	48.3
536	"both"	47.8
537	"both"	47.8
538	"both"	47.8
539	"both"	47.8
540	"both"	47.8
541	"both"	47.8
542	"both"	47.8
543	"both"	47.2
544	"both"	47.8
545	"both"	47.8
546	"both"	47.8
547	"both"	47.8
548	"both"	47.2
549	"both"	47.2
550	"both"	47.8
551	"both"	47.8
552	"both"	47.8
553	"both"	48.3
554	"both"	48.3
555	"both"	48.3
556	"both"	48.3
557	"both"	47.2
558	"both"	47.8
559	"both"	47.8
560	"both"	47.8
561	"both"	47.2
562	"both"	47.8
563	"both"	47.8
564	"both"	47.2
565	"both"	47.2
566	"both"	47.2
567	"both"	47.8
568	"both"	47.2
569	"both"	47.2
570	"both"	47.2
571	"both"	47.8
572	"both"	47.2
573	"both"	48.3
574	"both"	47.8
575	"both"	47.8
576	"both"	47.8
577	"both"	47.8
578	"both"	47.2
579	"both"	47.8
580	"both"	47.8
581	"both"	47.8
582	"both"	47.8
583	"both"	47.8
584	"both"	47.8
585	"both"	47.2
586	"both"	47.2
587	"both"	47.2
588	"both"	47.8
589	"both"	47.8
590	"both"	47.2
591	"both"	47.2
592	"both"	47.2
593	"both"	47.8
594	"both"	47.2
595	"both"	47.8
596	"both"	47.2
597	"both"	47.8
598	"both"	47.2
599	"both"	47.2
600	"both"	47.8
601	"both"	47.8
602	"both"	47.8
603	"both"	47.8
604	"both"	47.8
605	"both"	47.8
606	"both"	47.8
607	"both"	47.2
608	"both"	48.3
609	"both"	47.8
610	"both"	48.3
611	"both"	47.2
612	"both"	47.8
613	"both"	47.2
614	"both"	47.8
615	"both"	47.8
616	"both"	47.8
617	"both"	47.8
618	"both"	48.3
619	"both"	47.8
620	"both"	48.3
621	"both"	47.8
622	"both"	47.8
623	"both"	47.8
624	"both"	47.8
625	"both"	47.2
626	"both"	47.8
627	"both"	47.8
628	"both"	47.8
629	"both"	47.2
630	"both"	47.2
631	"both"	47.8
632	"both"	48.3
633	"both"	47.2
634	"both"	47.2
635	"both"	47.2
636	"both"	47.8
637	"both"	47.2
638	"both"	47.2
639	"both"	47.8
640	"both"	47.8
641	"both"	48.3
642	"both"	47.2
643	"both"	47.2
644	"both"	47.2
645	"both"	47.8
646	"both"	47.8
647	"both"	47.2
648	"both"	47.2
649	"both"	47.2
650	"both"	47.2
651	"both"	47.2
652	"both"	47.2
653	"both"	47.2
654	"both"	47.8
655	"both"	47.2
656	"both"	47.8
657	"both"	47.2
658	"both"	47.2
659	"both"	48.3
660	"both"	47.8
661	"both"	48.3
662	"both"	47.8
663	"both"	47.2
664	"both"	48.3
665	"both"	47.8
666	"both"	47.2
667	"both"	47.8
668	"both"	47.8
669	"both"	48.3
670	"both"	47.2
671	"both"	47.8
672	"both"	47.8
673	"both"	47.2
674	"both"	47.8
675	"both"	47.2
676	"both"	47.2
677	"both"	47.2
678	"both"	47.8
679	"both"	47.8
680	"both"	47.2
