x	none	both	fan	heat sink
1	45.1	36.5	45.1	45.1
2	45.6	36.5	45.1	45.1
3	45.6	36.5	45.1	45.1
4	45.6	36.5	45.1	45.6
5	46.2	36.5	45.1	45.1
6	46.2	36.5	45.1	45.1
7	46.2	36.5	44.0	45.1
8	46.2	36.5	44.5	45.1
9	46.2	36.5	45.1	45.1
10	46.2	36.5	44.5	45.1
11	46.2	36.5	44.5	45.1
12	45.6	36.5	44.0	45.1
13	46.2	36.5	44.5	45.6
14	46.2	36.5	44.5	45.1
15	47.2	36.5	44.5	45.6
16	46.2	36.5	44.5	45.1
17	46.7	36.5	44.0	45.6
18	46.2	36.5	44.0	45.1
19	46.7	36.5	44.0	45.1
20	46.7	36.5	44.0	45.6
21	49.4	38.6	47.2	48.3
22	51.5	40.2	48.3	48.3
23	53.7	40.8	51.0	49.9
24	55.8	40.8	52.1	49.9
25	56.9	41.9	53.7	51.0
26	57.5	41.9	53.7	51.5
27	58.0	42.4	54.8	51.5
28	59.1	42.9	55.8	52.1
29	60.7	43.5	56.4	52.1
30	61.2	44.0	55.8	52.6
31	61.2	43.5	56.9	52.1
32	62.3	43.5	58.0	52.6
33	62.3	44.0	58.0	53.7
34	63.4	44.0	58.0	53.7
35	63.4	44.0	58.5	53.7
36	63.4	44.0	59.1	54.2
37	64.5	44.5	59.1	54.8
38	64.5	45.1	59.1	54.8
39	65.5	45.1	59.6	54.8
40	65.5	45.1	60.1	54.8
41	65.5	45.1	59.6	54.8
42	65.5	45.1	59.6	55.3
43	66.6	45.1	59.6	55.8
44	66.6	45.1	60.1	55.8
45	67.1	45.1	60.7	55.3
46	67.7	45.1	60.1	55.8
47	67.7	45.6	60.7	56.4
48	68.2	45.6	61.2	56.4
49	67.7	45.6	60.7	56.9
50	67.7	45.6	61.2	56.9
51	68.8	45.6	61.2	57.5
52	68.2	45.6	61.2	56.9
53	68.8	46.2	61.2	58.0
54	69.3	46.2	61.2	58.0
55	69.8	46.2	61.2	56.9
56	68.8	45.6	61.2	58.0
57	69.8	46.2	61.8	58.0
58	69.8	46.2	61.2	58.5
59	69.8	46.2	62.3	58.0
60	70.9	46.2	61.8	58.0
61	70.9	46.2	61.8	59.1
62	70.9	46.7	61.8	58.5
63	70.9	46.7	62.3	58.0
64	70.9	46.7	61.2	58.5
65	71.4	46.7	62.3	59.1
66	70.9	46.7	61.8	60.1
67	71.4	47.2	62.3	59.1
68	72.0	46.2	62.3	59.1
69	72.0	46.2	62.3	60.1
70	70.9	47.2	62.3	60.1
71	71.4	47.2	62.3	60.1
72	72.0	47.2	62.3	60.1
73	72.5	47.2	62.3	60.1
74	73.1	47.2	62.3	60.7
75	73.1	46.2	62.3	60.1
76	72.0	46.2	62.3	60.7
77	73.1	47.2	62.3	61.2
78	73.1	47.2	62.3	61.2
79	73.1	47.2	62.3	61.2
80	73.1	47.2	62.3	62.3
81	73.1	47.2	62.3	61.2
82	73.6	47.2	62.3	61.2
83	74.1	47.2	62.3	62.3
84	74.1	46.7	62.3	62.3
85	73.6	47.2	62.8	61.8
86	74.1	47.8	62.8	61.8
87	74.1	47.2	62.8	62.3
88	74.7	47.2	62.8	62.8
89	74.7	47.2	62.8	62.3
90	74.1	46.7	62.3	62.3
91	74.1	47.2	62.8	62.3
