x	none	both	fan	heat sink
92	75.2	47.2	62.3	62.8
93	75.2	47.2	62.3	62.8
94	75.2	47.2	63.4	62.8
95	75.2	47.2	62.8	62.8
96	75.2	47.2	62.8	62.8
97	75.2	47.2	62.3	63.4
98	75.8	47.2	62.8	64.5
99	75.2	47.2	62.8	63.4
100	75.8	47.2	63.4	63.4
101	75.8	47.2	63.4	63.9
102	75.2	47.8	62.3	63.9
103	75.8	47.2	62.8	63.9
104	75.8	47.8	62.3	63.9
105	76.3	47.2	62.3	65.0
106	76.3	47.2	62.3	64.5
107	76.3	47.8	62.8	65.0
108	76.8	47.2	62.3	64.5
109	76.3	47.2	62.3	64.5
110	76.3	47.2	63.4	64.5
111	76.8	47.2	62.8	65.0
112	76.3	47.2	63.4	65.0
113	77.4	47.2	63.4	65.5
114	76.8	47.8	63.4	65.0
115	76.8	47.2	63.4	65.5
116	77.4	47.2	62.3	65.5
117	77.9	47.8	63.4	65.5
118	76.8	47.2	62.8	65.5
119	77.4	47.8	62.3	66.1
120	77.9	47.2	62.8	65.5
121	77.9	48.3	62.8	65.5
122	77.9	47.2	63.4	65.5
123	77.9	47.8	63.4	66.1
124	77.9	47.8	63.4	66.1
125	77.9	47.8	63.4	66.1
126	78.4	47.8	63.4	66.6
127	78.4	47.2	63.4	66.6
128	78.4	47.8	62.8	66.1
129	77.9	47.8	62.8	66.6
130	78.4	47.2	62.8	65.5
131	79.0	47.8	62.8	66.6
132	78.4	47.2	62.3	66.6
133	78.4	48.3	62.3	66.6
134	79.0	47.2	62.3	67.1
135	79.0	47.8	63.4	66.6
136	79.5	48.3	62.3	66.6
137	79.5	47.8	62.8	67.1
138	79.5	47.8	62.3	67.1
139	79.5	47.8	63.4	67.7
140	79.0	47.8	62.8	67.1
141	79.0	47.8	62.8	67.1
142	79.5	47.8	62.3	67.1
143	79.5	47.8	63.4	67.7
144	79.5	47.8	63.4	67.1
145	79.5	48.3	63.4	67.7
146	79.5	47.2	63.4	67.7
147	79.5	47.8	62.8	67.7
148	79.5	47.2	63.4	67.7
149	79.5	48.3	62.8	67.7
150	80.1	47.8	62.8	68.2
151	79.5	47.2	63.4	67.7
152	80.1	47.8	63.4	68.8
153	80.6	47.2	62.8	68.8
154	80.1	47.8	62.3	67.7
155	80.1	47.2	62.8	68.2
156	79.5	47.8	62.8	68.8
157	80.6	47.8	63.4	69.8
158	80.1	47.2	63.4	68.8
159	80.6	47.2	62.3	68.8
160	80.1	47.8	63.4	69.3
161	80.6	47.8	63.4	68.8
162	80.1	47.8	62.8	68.8
163	80.6	47.2	62.8	69.3
164	80.6	47.8	62.3	69.3
165	80.6	47.8	62.8	69.3
166	80.6	47.2	62.3	69.3
167	80.6	47.2	63.4	69.8
168	80.6	47.2	62.3	69.3
169	80.6	47.8	62.3	69.8
170	80.6	47.8	62.8	69.8
171	81.1	47.8	62.8	69.8
172	80.6	47.2	62.8	69.3
173	80.6	47.8	62.3	69.8
174	80.6	47.8	62.8	69.8
175	80.6	47.8	62.8	69.8
176	81.7	48.3	62.3	69.8
177	80.6	47.2	62.3	69.8
178	81.1	47.8	63.4	69.8
179	81.7	47.8	62.8	69.8
180	81.7	48.3	62.3	69.8
181	81.1	47.8	63.4	70.9
182	80.6	47.2	62.3	69.8
183	81.7	47.8	62.8	70.4
184	81.7	47.8	62.8	70.4
185	81.7	47.8	62.3	70.4
186	81.1	48.3	62.3	70.9
187	81.7	48.3	62.8	70.4
188	81.7	47.8	62.8	70.4
189	81.7	47.8	62.8	70.9
190	82.2	47.8	62.8	70.9
191	81.7	47.8	62.8	70.4
192	81.7	48.3	62.8	70.9
193	82.2	47.8	62.3	70.4
194	82.2	47.8	62.3	70.9
195	81.7	47.8	62.8	70.9
196	81.7	47.8	62.3	70.9
197	82.7	47.2	62.8	70.9
198	82.2	47.8	63.4	70.9
199	81.7	47.8	62.8	70.9
200	82.2	47.2	62.8	70.9
201	82.2	47.2	63.4	70.9
202	82.2	47.8	62.3	70.9
203	82.2	48.3	63.4	70.9
204	82.2	47.8	62.8	70.9
205	82.7	47.8	62.8	71.4
206	82.7	47.8	62.8	70.9
207	82.7	47.8	62.8	70.9
208	82.2	47.8	62.8	70.9
209	82.7	47.2	63.4	71.4
210	83.3	47.8	62.8	70.9
211	82.7	47.8	62.3	70.9
212	82.7	47.2	62.8	71.4
213	83.3	47.8	62.8	72.0
214	82.7	47.8	63.4	72.0
215	82.7	47.8	63.4	71.4
216	82.7	47.8	63.4	72.0
217	83.3	47.2	62.8	71.4
218	83.3	47.2	63.4	72.0
219	82.7	48.3	63.4	72.5
220	82.7	47.8	63.4	72.0
221	82.7	47.8	63.4	72.0
222	83.3	47.8	63.4	72.0
223	82.7	47.8	62.8	72.5
224	82.7	48.3	62.8	72.0
225	83.3	47.8	63.4	71.4
226	83.3	47.2	63.4	72.0
227	83.8	47.8	62.3	72.5
228	83.3	47.8	62.3	72.5
229	83.3	47.8	63.4	72.5
230	82.7	48.3	63.4	72.5
231	83.8	47.2	62.3	73.1
232	83.3	47.8	63.4	72.0
233	82.7	47.2	62.8	72.0
234	83.3	47.8	62.8	72.5
235	83.3	48.3	62.8	72.5
236	82.7	47.8	63.4	72.5
237	83.3	47.8	62.8	73.1
238	83.8	47.8	62.8	72.5
239	82.7	48.3	62.3	73.1
240	82.7	47.2	62.8	72.5
241	83.8	48.3	62.3	73.1
242	83.3	47.8	62.8	73.1
243	82.7	47.2	63.4	73.1
244	82.7	47.8	62.3	73.1
245	82.7	47.8	62.3	73.6
246	83.8	47.8	62.8	72.5
247	82.7	47.8	62.8	73.1
248	83.3	47.8	62.8	73.1
249	83.3	47.8	62.8	73.1
250	82.7	47.8	62.8	73.1
251	83.3	47.2	62.8	73.1
252	83.8	48.3	62.8	73.1
253	83.3	47.2	62.3	73.6
254	82.7	47.8	62.3	73.6
255	83.3	47.2	63.4	73.1
256	83.8	47.8	62.3	73.6
257	83.8	47.2	62.8	73.1
258	83.8	47.2	62.8	73.1
259	83.8	47.8	63.4	73.1
260	83.8	47.8	63.4	73.6
261	83.8	47.8	62.3	73.6
262	83.8	47.8	62.8	73.1
263	83.3	47.2	63.4	73.6
264	83.3	47.8	62.8	73.6
265	83.8	47.8	62.3	74.1
266	83.8	47.8	62.8	74.1
267	83.8	47.2	62.8	73.6
268	82.7	47.8	63.4	73.6
269	83.8	47.8	62.8	73.1
270	83.8	47.8	62.3	74.1
271	83.3	47.2	62.8	73.6
272	83.3	47.8	62.8	74.1
273	83.8	47.8	63.4	74.1
274	83.8	48.3	63.4	73.6
275	83.8	47.8	63.4	74.1
276	83.8	47.2	63.4	74.1
277	83.8	47.8	62.8	73.6
278	83.8	48.3	63.4	74.1
279	83.3	48.3	63.4	73.6
280	83.8	47.8	62.8	73.6
281	83.3	47.2	63.4	73.6
282	83.8	47.2	62.3	74.7
283	83.8	48.3	63.4	74.1
284	83.3	48.3	62.8	74.1
285	83.8	47.2	62.3	74.1
286	83.8	47.8	62.8	73.6
287	82.7	47.8	62.8	74.1
288	83.3	47.8	62.8	73.6
289	83.8	47.8	62.3	73.6
290	83.8	47.2	62.3	73.6
291	83.8	48.3	62.3	74.1
292	83.8	48.3	62.3	75.2
293	83.8	47.8	62.8	74.1
294	83.8	48.3	62.8	74.1
295	83.8	48.3	62.3	74.1
296	83.8	47.8	62.8	74.1
297	83.3	48.3	63.4	74.1
298	83.3	48.3	62.3	74.1
299	83.3	47.8	62.8	74.7
300	83.8	47.8	63.4	74.7
301	83.8	47.2	63.4	74.1
302	83.8	48.3	62.8	74.1
303	83.8	48.3	62.3	74.7
304	83.8	47.8	62.8	74.1
305	83.8	47.8	62.8	74.7
306	83.3	48.3	63.4	75.2
307	83.8	47.8	63.4	74.1
308	83.8	48.3	63.4	75.2
309	83.8	47.8	63.4	75.2
310	83.3	47.8	62.8	73.6
311	83.8	47.8	62.3	74.1
312	83.8	48.3	62.8	75.2
313	82.7	47.8	63.4	74.1
314	83.8	47.8	62.8	74.1
315	83.8	48.3	62.8	74.7
316	83.8	47.2	62.8	75.2
317	83.3	47.8	62.3	75.2
318	83.8	47.2	62.8	75.2
319	83.3	47.8	62.8	75.2
320	83.8	48.3	62.3	74.1
321	83.8	47.8	63.4	75.2
322	83.8	47.8	62.8	74.7
323	83.8	47.8	62.8	75.2
324	83.8	47.8	62.8	75.2
325	83.8	47.8	62.8	75.2
326	83.8	47.8	62.3	75.2
327	83.8	47.2	62.8	75.2
328	83.8	47.8	62.3	74.7
329	83.8	47.2	62.8	75.2
330	83.8	47.2	63.4	75.2
331	83.8	47.8	62.3	74.7
332	83.8	47.8	62.8	75.2
333	83.8	47.2	62.3	74.7
334	83.8	47.2	62.3	75.2
335	83.8	47.8	62.8	75.2
336	83.8	47.8	62.3	75.2
337	83.8	47.8	62.3	75.2
338	83.8	47.2	62.8	75.2
339	83.8	47.8	62.3	75.2
340	83.8	47.8	62.3	75.2
341	83.8	48.3	62.8	75.2
342	83.8	47.2	62.3	75.8
343	83.8	47.2	62.3	75.8
344	83.3	47.2	62.3	75.8
345	83.8	47.8	62.3	75.2
346	83.8	47.8	62.3	75.8
347	83.8	47.2	62.3	76.3
348	83.8	47.2	63.4	75.8
349	83.8	47.2	63.4	75.2
350	83.8	47.8	63.4	75.2
351	83.8	48.3	62.3	75.8
352	83.8	47.8	63.4	75.2
353	83.3	47.2	62.3	75.8
354	83.8	48.3	62.8	75.2
355	83.8	47.8	62.3	75.8
356	83.8	47.8	62.8	75.8
357	83.8	47.8	62.3	76.3
358	83.8	48.3	62.8	75.2
359	83.8	47.2	62.3	75.2
360	83.8	47.8	62.3	76.3
361	83.8	47.2	62.8	75.8
362	83.8	47.8	63.4	75.2
363	83.3	47.8	62.8	75.2
364	83.8	47.8	62.8	75.2
365	83.8	47.2	62.8	75.2
366	83.8	47.2	62.3	76.3
367	84.4	48.3	62.8	75.2
368	83.8	47.8	63.4	75.8
369	83.8	47.8	62.8	76.3
370	83.8	47.2	62.3	75.8
371	82.7	47.2	62.8	75.8
372	83.8	47.8	62.3	75.2
373	83.8	47.8	62.8	75.8
374	83.8	47.2	62.8	75.8
375	83.8	47.2	62.8	75.2
376	83.8	47.2	62.8	75.8
377	83.8	48.3	62.3	75.8
378	83.8	47.8	62.3	76.3
379	83.8	47.8	62.3	75.8
380	83.8	47.2	62.3	76.3
381	83.8	47.8	62.3	76.3
382	84.4	47.8	62.3	75.2
383	83.8	47.2	62.3	76.3
384	83.8	47.2	62.8	76.3
385	83.8	47.2	63.4	75.8
386	84.4	47.8	62.3	76.3
387	83.8	47.8	62.3	76.3
388	83.8	47.8	62.8	76.8
389	84.4	47.2	62.3	75.2
390	83.8	47.2	62.3	75.2
391	83.8	47.8	62.3	75.8
392	83.8	47.8	62.8	76.3
393	83.8	47.2	62.3	76.3
394	83.8	47.8	62.3	76.3
395	83.8	48.3	62.3	76.3
396	83.8	48.3	62.8	75.8
397	83.8	47.2	62.3	76.3
398	84.4	47.8	62.8	76.3
399	83.8	47.2	62.8	76.3
400	83.8	47.8	62.8	76.3
401	83.8	47.8	62.3	76.3
402	83.8	47.8	62.3	76.8
403	83.8	47.8	62.8	75.8
404	83.8	47.8	62.3	76.3
405	83.8	47.8	62.3	76.3
406	84.4	47.8	62.8	76.3
407	83.8	47.2	62.3	76.3
408	83.8	47.2	63.4	76.3
409	83.8	47.8	62.8	75.8
410	83.8	47.8	62.3	76.3
411	83.8	47.8	63.4	76.3
412	83.8	47.8	62.3	76.3
413	84.4	48.3	63.4	76.3
414	83.8	47.2	62.3	76.3
415	83.8	48.3	62.3	76.3
416	83.8	47.8	62.3	76.3
417	83.8	48.3	62.8	76.3
418	83.8	47.2	62.3	76.3
419	83.8	47.8	62.3	76.3
420	83.8	47.8	62.3	76.3
421	83.8	47.2	62.3	76.3
422	83.8	47.2	62.3	76.8
423	83.8	47.8	62.3	76.3
424	84.4	47.8	62.8	76.3
425	83.8	47.2	62.3	76.3
426	83.3	47.8	62.8	76.3
427	83.8	47.8	62.3	76.3
428	83.8	48.3	62.8	76.8
429	83.8	47.2	62.3	76.3
430	83.8	47.2	62.3	76.3
431	83.8	47.8	62.3	76.3
432	84.4	47.2	62.8	77.4
433	83.8	47.8	62.3	76.8
434	83.8	47.2	62.8	76.3
435	83.8	47.2	62.3	76.3
436	83.8	47.8	62.8	76.3
437	84.4	47.2	62.3	77.4
438	83.8	47.8	62.3	76.8
439	83.8	47.2	63.4	76.3
440	84.4	47.8	62.3	76.3
441	83.8	47.2	62.3	76.8
442	83.8	47.8	62.8	76.3
443	83.8	48.3	62.3	76.3
444	84.4	47.2	62.3	76.3
445	83.8	47.2	62.3	76.3
446	83.8	47.8	63.4	76.8
447	83.8	47.8	62.3	76.8
448	83.8	47.8	62.3	77.4
449	83.8	48.3	62.8	76.3
450	83.8	47.8	62.3	76.3
451	83.8	47.8	62.8	77.4
452	83.8	47.2	62.3	77.4
453	84.4	47.2	62.3	76.3
454	83.8	47.8	62.3	76.3
455	83.8	47.8	62.8	76.8
456	83.8	47.8	62.3	77.4
457	83.8	47.2	62.3	76.3
458	83.8	47.8	62.3	77.4
459	84.4	47.8	62.8	76.3
460	83.8	47.2	62.8	76.3
461	83.8	47.8	62.8	77.4
462	83.8	47.2	62.3	76.3
463	83.8	47.8	62.3	76.3
464	83.8	47.8	62.8	76.3
465	83.8	47.2	62.8	77.4
466	83.8	47.2	62.3	77.4
467	84.4	47.2	62.3	76.3
468	83.8	47.8	62.3	76.3
469	84.4	47.8	62.8	77.4
470	83.8	47.2	62.3	76.8
471	83.8	47.8	62.3	77.4
472	83.8	47.2	62.8	76.8
473	84.4	47.2	62.8	77.4
474	84.4	47.8	62.8	76.8
475	84.4	47.8	62.3	76.8
476	83.8	47.2	62.3	76.3
477	84.4	47.8	62.3	77.4
478	83.8	47.2	62.3	76.8
479	83.8	47.2	62.3	76.3
480	84.4	47.8	62.3	76.8
481	83.8	47.8	62.8	76.8
482	84.4	47.8	62.3	76.8
483	83.8	47.8	62.3	77.4
484	84.4	47.2	62.3	77.4
485	83.8	47.8	62.3	76.8
486	83.8	47.2	62.8	76.8
487	83.8	47.8	62.3	77.4
488	83.8	48.3	62.8	77.4
489	83.8	47.2	62.8	76.3
490	83.8	47.2	62.3	76.3
491	83.8	47.8	62.3	77.4
492	84.4	47.8	62.8	77.4
493	84.4	47.8	62.3	76.3
494	83.8	47.8	62.8	76.3
495	83.8	47.8	62.8	77.4
496	84.4	47.8	62.8	77.4
497	83.8	47.8	62.3	77.4
498	83.8	47.8	62.8	76.8
499	83.8	47.8	62.3	77.4
500	83.8	47.2	62.3	77.4
501	83.8	47.8	62.8	77.9
502	83.8	47.8	63.4	77.4
503	83.8	47.2	62.3	77.4
504	84.4	47.8	62.3	76.8
505	83.8	47.8	62.3	77.4
506	83.8	47.2	63.4	77.4
507	83.8	47.2	62.8	77.4
508	83.8	47.8	62.3	77.4
509	84.4	48.3	62.3	77.4
510	83.8	47.8	62.3	77.4
511	84.4	47.8	62.3	77.4
512	83.8	47.8	62.3	77.4
513	83.8	48.3	62.3	76.3
514	83.8	47.8	62.3	76.8
515	83.8	47.2	62.3	77.4
516	83.3	48.3	62.3	77.9
517	83.8	47.8	62.3	77.4
518	84.9	47.2	62.8	77.9
519	84.4	47.8	62.3	77.4
520	83.8	47.2	62.8	77.4
521	83.8	47.8	62.3	77.4
522	83.8	48.3	62.3	77.9
523	83.8	47.8	62.3	77.9
524	84.4	47.8	62.8	77.4
525	83.8	47.2	62.8	77.4
526	84.4	47.8	62.3	77.4
527	83.8	48.3	62.3	77.4
528	84.4	47.2	62.3	77.4
529	83.8	47.8	62.3	77.9
530	84.9	47.2	62.3	77.4
531	83.8	47.2	62.3	77.4
532	83.8	47.2	62.3	77.4
533	83.8	47.8	62.3	77.4
534	83.8	48.3	62.3	77.4
535	83.8	48.3	62.8	77.4
536	83.8	47.8	62.3	77.4
537	83.8	47.8	62.8	76.8
538	83.8	47.8	62.3	77.4
539	83.8	47.8	62.3	77.9
540	83.8	47.8	62.3	77.9
541	84.4	47.8	62.3	77.4
542	83.8	47.8	62.3	77.4
543	83.8	47.2	61.8	77.9
544	83.8	47.8	62.3	77.4
545	83.8	47.8	62.8	77.4
546	83.8	47.8	62.8	77.4
547	83.8	47.8	62.8	77.4
548	84.4	47.2	61.8	77.4
549	84.4	47.2	62.8	77.9
550	83.8	47.8	62.3	77.4
551	83.8	47.8	62.3	77.9
552	83.8	47.8	62.3	77.9
553	83.8	48.3	62.3	77.9
554	83.8	48.3	62.3	77.4
555	83.8	48.3	62.3	77.4
556	84.4	48.3	62.8	77.9
557	83.8	47.2	62.3	77.4
558	84.4	47.8	62.8	77.4
559	84.4	47.8	62.8	77.9
560	83.8	47.8	62.3	77.4
561	84.4	47.2	62.8	78.4
562	84.4	47.8	63.4	77.4
563	83.8	47.8	62.8	77.9
564	83.8	47.2	62.8	77.4
565	83.8	47.2	62.8	77.9
566	84.4	47.2	62.3	77.4
567	84.4	47.8	62.3	77.9
568	83.8	47.2	62.3	78.4
569	83.8	47.2	62.3	77.4
570	83.8	47.2	62.3	77.9
571	83.8	47.8	62.8	77.9
572	84.4	47.2	62.8	77.9
573	83.8	48.3	62.3	78.4
574	84.9	47.8	63.4	77.9
575	83.8	47.8	62.8	77.4
576	83.8	47.8	62.8	77.4
577	83.8	47.8	62.8	77.9
578	83.8	47.2	62.8	77.9
579	83.8	47.8	62.8	77.4
580	84.4	47.8	62.3	77.9
581	83.8	47.8	62.8	78.4
582	83.8	47.8	62.3	77.4
583	83.8	47.8	62.3	76.8
584	83.8	47.8	62.8	77.9
585	83.8	47.2	62.3	77.9
586	83.8	47.2	62.3	77.4
587	83.8	47.2	62.3	77.9
588	83.8	47.8	62.8	77.4
589	83.8	47.8	62.3	77.4
590	83.8	47.2	62.3	77.9
591	84.4	47.2	62.8	77.4
592	83.8	47.2	62.8	77.9
593	84.4	47.8	62.3	77.9
594	83.8	47.2	62.8	78.4
595	84.4	47.8	62.3	77.4
596	84.4	47.2	62.3	77.9
597	83.8	47.8	62.8	77.4
598	84.4	47.2	62.3	77.9
599	83.8	47.2	62.8	77.9
600	84.4	47.8	63.4	77.9
601	84.4	47.8	62.8	77.9
602	84.4	47.8	62.3	77.9
603	84.4	47.8	62.8	77.9
604	83.8	47.8	62.8	78.4
605	83.8	47.8	62.3	77.9
606	83.8	47.8	62.8	77.9
607	83.8	47.2	62.8	77.9
608	83.8	48.3	62.3	77.9
609	83.8	47.8	62.3	77.9
610	83.8	48.3	62.3	77.9
611	83.8	47.2	62.3	77.9
612	83.8	47.8	62.8	77.9
613	83.8	47.2	62.3	77.9
614	84.4	47.8	62.3	77.4
615	84.4	47.8	62.3	77.9
616	83.8	47.8	62.8	77.4
617	84.4	47.8	62.3	77.9
618	84.4	48.3	62.3	77.9
619	84.4	47.8	62.3	77.9
620	83.8	48.3	62.3	77.9
621	83.8	47.8	62.3	77.9
622	84.4	47.8	62.8	77.9
623	83.8	47.8	62.3	77.9
624	84.4	47.8	62.8	77.9
625	84.4	47.2	62.8	77.9
626	83.8	47.8	62.3	78.4
627	84.4	47.8	62.8	78.4
628	83.8	47.8	62.3	77.9
629	84.4	47.2	62.3	77.9
630	84.4	47.2	62.8	78.4
631	83.8	47.8	62.3	77.9
632	84.4	48.3	62.8	78.4
633	83.8	47.2	62.3	77.9
634	83.8	47.2	62.3	78.4
635	84.4	47.2	62.3	77.9
636	84.4	47.8	62.8	78.4
637	84.9	47.2	62.3	77.9
638	83.8	47.2	62.3	77.9
639	84.4	47.8	62.8	77.9
640	84.4	47.8	62.3	77.9
641	83.8	48.3	62.8	78.4
642	84.9	47.2	62.8	77.9
643	83.8	47.2	62.3	78.4
644	83.8	47.2	62.3	77.9
645	84.9	47.8	62.3	78.4
646	84.4	47.8	62.3	78.4
647	84.4	47.2	62.3	77.9
648	84.4	47.2	62.8	77.9
649	84.4	47.2	62.3	78.4
650	83.8	47.2	62.8	77.9
651	84.4	47.2	62.8	77.9
652	83.8	47.2	62.3	77.9
653	84.4	47.2	62.8	78.4
654	84.4	47.8	62.3	78.4
655	83.8	47.2	62.3	78.4
656	83.8	47.8	62.3	77.9
657	84.4	47.2	62.3	77.9
658	83.8	47.2	62.8	77.9
659	84.4	48.3	62.3	78.4
660	83.8	47.8	62.3	78.4
661	83.8	48.3	62.3	78.4
662	83.8	47.8	62.8	78.4
663	83.8	47.2	62.8	77.9
664	84.4	48.3	62.3	78.4
665	83.8	47.8	62.3	78.4
666	83.8	47.2	62.3	78.4
667	83.8	47.8	62.3	77.9
668	84.4	47.8	62.3	77.9
669	83.8	48.3	62.8	77.9
670	84.4	47.2	62.3	78.4
671	84.4	47.8	62.3	78.4
672	83.8	47.8	62.3	77.9
673	84.4	47.2	62.3	77.9
674	83.8	47.8	62.3	78.4
675	83.8	47.2	63.4	78.4
676	83.8	47.2	62.3	78.4
677	84.4	47.2	62.3	77.9
678	83.8	47.8	62.3	78.4
679	83.8	47.8	62.8	77.9
680	84.4	47.2	62.3	77.9
681	83.8	47.2	62.3	77.9
682	84.4	47.8	62.3	77.9
683	83.8	47.8	62.8	77.9
684	83.8	47.2	62.3	78.4
685	83.8	47.2	62.3	77.9
686	84.9	47.8	62.3	78.4
687	83.8	47.8	62.8	78.4
688	83.8	47.8	62.3	78.4
689	84.4	47.8	62.8	78.4
690	84.4	47.8	62.8	77.9
691	83.8	47.2	62.3	77.9
692	83.8	47.8	62.3	79.0
693	83.8	47.8	62.3	78.4
694	84.4	47.2	62.3	78.4
695	83.8	47.2	62.3	79.0
696	84.4	47.2	62.3	79.0
697	84.9	47.8	62.8	78.4
698	84.4	47.2	63.4	78.4
699	84.4	47.2	62.3	78.4
700	84.4	47.2	62.8	78.4
701	83.8	47.8	63.4	78.4
702	84.4	47.8	62.3	78.4
703	83.8	47.2	62.8	78.4
704	83.8	47.8	62.3	78.4
705	83.8	48.3	62.3	78.4
706	84.4	47.2	62.3	78.4
707	83.8	47.2	62.3	78.4
708	83.8	47.2	62.8	78.4
709	84.9	47.8	62.8	78.4
710	83.8	47.2	63.4	78.4
711	84.4	47.8	62.8	78.4
712	84.4	47.8	62.3	78.4
713	84.4	48.3	62.3	78.4
714	84.9	47.8	62.8	78.4
715	83.8	47.2	62.8	78.4
716	84.4	47.8	62.8	78.4
717	84.9	47.8	62.8	78.4
718	83.8	47.8	62.3	78.4
719	83.8	47.8	62.3	78.4
720	83.8	47.8	62.8	78.4
